Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,5.9,FALSE
Big Fish,movie,"Adventure, Drama, Fantasy",2003,8,FALSE
The Da Vinci Code,movie,"Mystery, Thriller",2006,6.6,FALSE
The Conversation,movie,"Drama, Mystery, Thriller",1974,7.7,FALSE
The Terminal,movie,"Comedy, Drama, Romance",2004,7.4,FALSE
Titanic,movie,"Drama, Romance",1997,7.9,FALSE
City of God,movie,"Crime, Drama",2002,8.6,FALSE
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982,7.9,FALSE
The Matrix,movie,"Action, Sci-Fi",1999,8.7,FALSE
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,7.2,FALSE
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,6.7,FALSE
Men in Black,movie,"Action, Adventure, Comedy",1997,7.3,FALSE
Men in Black II,movie,"Action, Adventure, Comedy",2002,6.2,FALSE
Munich,movie,"Drama, History, Thriller",2005,7.5,FALSE
Wild Strawberries,movie,"Drama, Romance",1957,8.1,FALSE
Wild Things,movie,"Crime, Drama, Mystery",1998,6.6,FALSE
The Bodyguard,movie,"Drama, Music, Romance",1992,6.4,FALSE
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,7.8,FALSE
The Ninth Gate,movie,"Mystery, Thriller",1999,6.7,FALSE
Easy Rider,movie,"Adventure, Drama",1969,7.2,FALSE
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,7.5,FALSE
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,6.8,FALSE
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,8.6,FALSE
Boyz n the Hood,movie,"Crime, Drama",1991,7.8,FALSE
Troy,movie,"Adventure, Drama",2004,7.3,FALSE
Saw IV,movie,"Horror, Mystery, Thriller",2007,5.9,FALSE
Central Station,movie,Drama,1998,8,FALSE
Oldboy,movie,"Action, Drama, Mystery",2003,8.3,FALSE
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,7.7,FALSE
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,7.4,FALSE
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,7.9,FALSE
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,7.7,FALSE
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,7.5,FALSE
Pulp Fiction,movie,"Crime, Drama",1994,8.9,FALSE
Meet the Fockers,movie,"Comedy, Romance",2004,6.3,FALSE
The Piano,movie,"Drama, Music, Romance",1993,7.5,FALSE
