Title,Type,Genre ID,Year,IMDB Score,Netflix Original
Underworld: Evolution,movie,"1,40,103",2006,6.7,FALSE
Barren Lives,movie,35,1963,7.5,FALSE
Close Encounters of the Third Kind,movie,"35,82",1977,7.6,FALSE
Dune,movie,"1,8,82",1984,6.3,FALSE
In the Mood for Love,movie,"35,73",2000,8.1,FALSE
2046,movie,"35,73,82",2004,7.4,FALSE
The Mask,movie,"23,29,40",1994,7,FALSE
Black Hawk Down,movie,"1,35,48",2001,7.7,FALSE
Saving Private Ryan,movie,35107,1998,8.6,FALSE
Sleepless in Seattle,movie,"23,35,73",1993,6.8,FALSE
The Running Man,movie,"1,82,103",1987,6.6,FALSE
Tsotsi,movie,"29,35",2005,7.2,FALSE
A Man for All Seasons,movie,"16,35,48",1966,7.7,FALSE
Cinderella Man,movie,"16,35,73",2005,8,FALSE
Dawn of the Dead,movie,50,2004,7.2,FALSE
Godzilla,movie,"1,82,103",1998,5.4,FALSE
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,23107,1964,8.3,FALSE
Lawrence of Arabia,movie,"8,16,35",1962,8.3,FALSE
Halloween,movie,50103,1978,7.7,FALSE
Kindergarten Cop,movie,"1,23,29",1990,6.2,FALSE
Madagascar,movie,"8,12,23",2005,6.9,FALSE
Mission: Impossible,movie,"1,8,103",1996,7.2,FALSE
Mission: Impossible II,movie,"1,8,103",2000,6.1,FALSE
Mission: Impossible III,movie,"1,8,103",2006,6.9,FALSE
Seven Years in Tibet,movie,"8,16,35",1997,7.1,FALSE
Irreversible,movie,"29,35,64",2002,7.3,FALSE
Whale Rider,movie,"35,37",2002,7.5,FALSE
Point Break,movie,"1,29,103",1991,7.3,FALSE
The Thirteenth Floor,movie,"64,82,103",1999,7,FALSE
The Prestige,movie,"35,64,82",2006,8.5,FALSE
Dreamgirls,movie,"35,61",2006,6.6,FALSE
Babel,movie,35,2006,7.5,FALSE
The Queen,movie,"16,35",2006,7.3,FALSE
The Remains of the Day,movie,"35,73",1993,7.8,FALSE
Hannibal Rising,movie,"8,29,35",2007,6.1,FALSE
Ghost Rider,movie,"1,40,103",2007,5.3,FALSE
Letters from Iwo Jima,movie,"1,8,35",2006,7.8,FALSE
"Don't Worry, I'm Fine",movie,35,2006,7.3,FALSE
The Host,movie,"35,50,82",2006,7.1,FALSE
Bridge to Terabithia,movie,"35,37,40",2007,7.2,FALSE
Mr. Bean's Holiday,movie,"23,37",2007,6.4,FALSE
300,movie,"1,35",2006,7.6,FALSE
TMNT,movie,"1,8,12",2007,6.2,FALSE
3-Iron,movie,"29,35,73",2004,7.9,FALSE
"Torrente, the Dumb Arm of the Law",movie,"23,29",1998,6.8,FALSE
Torrente 2: Mission in Marbella,movie,"1,23,29",2001,6.4,FALSE
Torrente 3: El protector,movie,"23,29",2005,5.6,FALSE
Four Minutes,movie,"35,60",2006,7.3,FALSE
American Psycho,movie,"29,35,50",2000,7.6,FALSE
Sex and LucÃ­a,movie,"35,73",2001,7,FALSE
Monster's Ball,movie,"35,73",2001,7,FALSE
First Blood,movie,"1,8,103",1982,7.7,FALSE
Rambo: First Blood Part II,movie,"1,8,103",1985,6.5,FALSE
Rambo III,movie,"1,8,103",1988,5.8,FALSE
Blood Diamond,movie,"8,35,103",2006,8,FALSE
The Pursuit of Happyness,movie,"16,35",2006,8,FALSE
Cutthroat Island,movie,"1,8,23",1995,5.7,FALSE
"Sex, Lies, and Videotape",movie,35,1989,7.2,FALSE
Pan's Labyrinth,movie,"35,40,107",2006,8.2,FALSE
Take My Eyes,movie,"35,73",2003,7.4,FALSE
The Departed,movie,"29,35,103",2006,8.5,FALSE
Perfume: The Story of a Murderer,movie,"29,35,40",2006,7.5,FALSE
Once Upon a Time in Mexico,movie,"1,29,103",2003,6.3,FALSE
Little Children,movie,"35,73",2006,7.5,FALSE
The Virgin Suicides,movie,"35,73",1999,7.2,FALSE
Hellboy,movie,"1,8,40",2004,6.9,FALSE
Miss Congeniality,movie,"1,23,29",2000,6.3,FALSE
Curse of the Golden Flower,movie,"1,35,73",2006,7,FALSE
Spy Game,movie,"1,29,103",2001,7.1,FALSE
Collateral,movie,"1,29,35",2004,7.5,FALSE
The Lost Boys,movie,"23,50",1987,7.2,FALSE
The Spanish Apartment,movie,"23,35,73",2002,7.3,FALSE
Resident Evil,movie,"1,50,82",2002,6.6,FALSE
Resident Evil: Apocalypse,movie,"1,50,82",2004,6.1,FALSE
The Holiday,movie,"23,73",2006,7,FALSE
School of Rock,movie,"23,60",2003,7.2,FALSE
Secret Window,movie,"35,64,103",2004,6.5,FALSE
What's Eating Gilbert Grape,movie,35,1993,7.7,FALSE
Bring It On,movie,"23,73,90",2000,6.1,FALSE
Meet the Parents,movie,"23,73",2000,7,FALSE
Cape Fear,movie,29103,1991,7.3,FALSE
Hitman,movie,"1,29,103",2007,6.2,FALSE
The People vs. Larry Flynt,movie,"16,35",1996,7.3,FALSE
Fried Green Tomatoes,movie,35,1991,7.7,FALSE
Free Willy,movie,"8,35,37",1993,6,FALSE
The Island,movie,"1,82,103",2005,6.8,FALSE
The Net,movie,"1,29,35",1995,6,FALSE
The Motorcycle Diaries,movie,"8,16,35",2004,7.7,FALSE
The Legend of Zorro,movie,"1,8,73",2005,6,FALSE
Hostel,movie,50,2005,5.9,FALSE
Hostel: Part II,movie,50,2007,5.5,FALSE
Anatomy,movie,50103,2000,6,FALSE
The Cider House Rules,movie,"35,73",1999,7.4,FALSE
The Incredible Hulk,movie,"1,8,82",2008,6.6,FALSE
Iron Man,movie,"1,8,82",2008,7.9,FALSE
The Forbidden Kingdom,movie,"1,8,40",2008,6.5,FALSE
The Mummy Returns,movie,"1,8,40",2001,6.4,FALSE
The Mummy: Tomb of the Dragon Emperor,movie,"1,8,40",2008,5.2,FALSE
Next,movie,"1,82,103",2007,6.2,FALSE
Footloose,movie,"35,60,73",1984,6.6,FALSE
The Devil's Advocate,movie,"35,40,64",1997,7.5,FALSE
50 First Dates,movie,"23,35,73",2004,6.8,FALSE
Russian Dolls,movie,"23,35,73",2005,7,FALSE
We Shall Overcome,movie,"35,37",2006,7.3,FALSE
Transformers,movie,"1,8,82",2007,7.1,FALSE
Fantomas Unleashed,movie,"8,23,29",1965,6.8,FALSE
Fantomas,movie,"8,23,29",1964,6.9,FALSE
Fantomas vs. Scotland Yard,movie,"8,23,29",1967,6.7,FALSE
Fear and Loathing in Las Vegas,movie,"8,23,35",1998,7.5,FALSE
The Karate Kid,movie,"1,35,37",1984,7.3,FALSE
Marie Antoinette,movie,"16,35,48",2006,6.5,FALSE
Traffic,movie,"29,35,103",2000,7.6,FALSE
In Good Company,movie,"23,35,73",2004,6.5,FALSE
Open Your Eyes,movie,"35,64,82",1997,7.7,FALSE
Memoirs of a Geisha,movie,"35,73",2005,7.3,FALSE
The Sea Inside,movie,"16,35",2004,8,FALSE
"Manta, Manta",movie,23,1991,5.7,FALSE
Away from Her,movie,35,2006,7.5,FALSE
Sweet November,movie,"35,73",2001,6.7,FALSE
September 11,movie,35,2002,6.8,FALSE
Hulk,movie,"1,82",2003,5.6,FALSE
The Amazing Spider-Man,movie,"1,8,82",2012,6.9,FALSE
Stomp the Yard,movie,"35,60,73",2007,5.4,FALSE
The Others,movie,"50,64,103",2001,7.6,FALSE
Me and My Sister,movie,"23,35",2004,6.4,FALSE
An Unfinished Life,movie,"35,37,73",2005,7,FALSE
Crank,movie,"1,29,103",2006,6.9,FALSE
Zodiac,movie,"29,35,64",2007,7.7,FALSE
The Butterfly Effect,movie,"35,82,103",2004,7.6,FALSE
Enough,movie,"29,35,103",2002,5.8,FALSE
A Perfect Murder,movie,"29,35,103",1998,6.6,FALSE
Alexander,movie,"1,16,35",2004,5.6,FALSE
Bra Boys,movie,"34,90",2007,6.1,FALSE
The Constant Gardener,movie,"35,64,73",2005,7.3,FALSE
Paranoid Park,movie,"29,35,64",2007,6.6,FALSE
Death Proof,movie,35103,2007,7,FALSE
Lara Croft: Tomb Raider,movie,"1,8,40",2001,5.8,FALSE
Lara Croft: Tomb Raider - The Cradle of Life,movie,"1,8,40",2003,5.5,FALSE
"4 Months, 3 Weeks and 2 Days",movie,35,2007,7.9,FALSE
Persepolis,movie,"12,16,35",2007,8,FALSE
Secret Sunshine,movie,35,2007,7.5,FALSE
The Wedding Planner,movie,"23,73",2001,5.3,FALSE
Hard Target,movie,"1,29,103",1993,6.2,FALSE
Mr. Deeds,movie,"23,73",2002,5.8,FALSE
The Patriot,movie,"1,35,48",2000,7.2,FALSE
A Few Days with Me,movie,"23,35,73",1988,7,FALSE
Training Day,movie,"29,35,103",2001,7.8,FALSE
The Lake House,movie,"35,40,73",2006,6.8,FALSE
The Whole Nine Yards,movie,"23,29",2000,6.7,FALSE
Halloween,movie,50,2007,6,FALSE
Romeo Must Die,movie,"1,29,103",2000,6.1,FALSE
Requiem,movie,"1,29,50",2001,5,FALSE
Rush Hour,movie,"1,23,29",1998,7,FALSE
Sophie Scholl: The Final Days,movie,"16,29,35",2005,7.6,FALSE
The Perfect Storm,movie,"1,8,35",2000,6.5,FALSE
The Storm Riders,movie,"1,8,40",1998,6.3,FALSE
Kiss of the Dragon,movie,"1,29,103",2001,6.6,FALSE
The Glass House,movie,"29,35,64",2001,5.8,FALSE
Heartbreak Hotel,movie,"23,35,60",2006,5.4,FALSE
Unfaithful,movie,"35,73,103",2002,6.7,FALSE
Eastern Promises,movie,"29,35,103",2007,7.6,FALSE
Lola,movie,"35,73",1981,7.4,FALSE
The Golden Compass,movie,"8,37,40",2007,6.1,FALSE
The General's Daughter,movie,"29,35,64",1999,6.4,FALSE
Mr. Magorium's Wonder Emporium,movie,"23,37,40",2007,6.2,FALSE
Closer,movie,"35,73",2004,7.2,FALSE
Cold Mountain,movie,"8,35,73",2003,7.2,FALSE
Clerks,movie,23,1994,7.7,FALSE
Space Jam,movie,"8,12,23",1996,6.5,FALSE
The Wounded Man,movie,"29,35,73",1983,6.6,FALSE
Beowulf,movie,"1,8,12",2007,6.3,FALSE
In the Name of the King: A Dungeon Siege Tale,movie,"1,8,40",2007,3.8,FALSE
Executive Decision,movie,"1,8,103",1996,6.5,FALSE
Field of Dreams,movie,"35,37,40",1989,7.5,FALSE
Taxi,movie,"1,23,29",1998,7,FALSE
Taxi 2,movie,"1,23,29",2000,6.5,FALSE
Taxi 3,movie,"1,23,29",2003,5.8,FALSE
Taxi 4,movie,"1,23,29",2007,5.6,FALSE
The Boat on the Grass,movie,35,1971,5.8,FALSE
Asterix at the Olympic Games,movie,"8,23,37",2008,5.2,FALSE
Joint Security Area,movie,"1,35,103",2000,7.7,FALSE
The Nativity Story,movie,"8,35,37",2006,6.8,FALSE
Tie Me Up! Tie Me Down!,movie,"23,29,35",1989,7,FALSE
Nobody Knows,movie,35,2004,8,FALSE
Spanglish,movie,"23,35,73",2004,6.4,FALSE
The Aviator,movie,"16,35",2004,7.5,FALSE
The Specialist,movie,"1,35,103",1994,5.6,FALSE
Two Weeks Notice,movie,"23,73",2002,6.2,FALSE
The Game,movie,"35,64,103",1997,7.7,FALSE
The Blair Witch Project,movie,"50,64",1999,6.5,FALSE
